V1,ID,longitude,latitude,x,y,clay,silt,sand,CRFVOL,soC,N,Avail_N,pHiHXO,pHiKCl,FC,WP,AWC,soil_depth
174715,7765469,22.375,59.7916666667,240547.293177338,6637267.03523534,19.508766689816,28.0138662183607,52.6266178440403,17.7932277627893,134.08671940984,,,54.1283043526314,54.8933290017618,,,,108.891891891892
175241,7769785,22.0416666667,59.875,222565.140896082,6647883.21270083,19.6440331719138,29.9822358218106,50.4260708202015,22.2739857760343,114.762740395286,,,53.2671456770463,55.5273213820024,,,,120.090909090909
175243,7769787,22.2083333333,59.875,231879.668563972,6647196.07095294,17.2379846572876,28.3373158772786,54.8299914995829,13.3924707174301,115.704562187195,4.47209405899048,,54.4097027778625,52.8034845987956,314.700012207031,156.75,157.950012207031,129.708333333333
175254,7769798,23.125,59.875,283128.741527188,6643837.12805269,14.081671660287,25.7429398672921,60.5354430425735,12.4868146896362,114.656904892694,4.49359381400933,69.0429568349579,52.2274006071545,46.9824082510812,322.172850010759,159.520928851629,162.65192115913,147.866666666667
175255,7769799,23.2083333333,59.875,287789.217856102,6643567.03337612,15.0834187233802,25.4967725583822,59.7009768344388,12.8482625602496,120.527545437954,4.35739075456347,63.3670896318224,52.1871067840274,47.2581024169922,322.210745239258,162.53192225865,159.678822980608,147.247524752475
175257,7769801,23.375,59.875,297110.835998918,6643044.47163172,16.8340823309762,26.7183170772734,56.7534123375302,15.3622234662374,129.908447538103,4.48801077113432,60.6948401003468,51.6411066963559,49.3401042847406,318.362442914177,154.897351433249,163.465091480928,131.904761904762
175763,7774092,20.9583333333,59.9583333333,162898.64537396,6662177.89338471,16.026236636822,25.8422200716459,58.3909523010254,10.0137626061073,99.4965876652644,5.62439357150685,,58.1008477431077,49.7104141822228,300.586841930043,171.542037270286,129.044804659757,141.015384615385
175774,7774103,21.875,59.9583333333,213970.57791982,6657855.88592513,16.447364616394,30.9382799784342,52.7616546630859,19.4566794077555,125.451312764486,,,54.5062294006348,56.8445327758789,,,,123
175781,7774110,22.4583333333,59.9583333333,246490.456959419,6655475.45128993,17.8098008711259,26.7459832076188,55.6811761541681,14.631520323701,110.591410207224,5.04199256896973,46.6808233099469,52.1722636380038,48.0224184308733,310.354061889648,152.417440795898,157.93662109375,127.087912087912
175782,7774111,22.5416666667,59.9583333333,251137.269043412,6655158.86757589,16.9674769181472,24.7768398187099,58.4087995382456,15.553487716577,108.328935867701,5.0323162873586,50.0592081224596,51.6208348885561,47.2714470105294,315.583669026693,152.155113855998,163.428555170695,126.038461538462
175783,7774112,22.625,59.9583333333,255784.344929897,6654848.15242368,17.5901509112999,25.5468613671475,57.0805673442903,14.3483001834056,107.348398052278,4.86849113611075,49.3279516046697,51.5390760703165,47.8040009170282,315.75934776893,153.274272038386,162.485075730544,126.377049180328
175786,7774115,22.875,59.9583333333,269727.105660372,6653951.21507396,15.3681011525067,25.0237146074122,59.9178595542908,13.9313356768001,111.0651697679,4.90030082066854,62.9588537979126,52.2283930345015,46.5020613670349,317.097653706868,155.438053131104,161.659600575764,132.829545454545
175787,7774116,22.9583333333,59.9583333333,274375.187009724,6653663.97093639,17.6034751540249,26.6746071380319,56.0268056925061,12.4748376364847,100.972692841465,4.45525526603063,64.6189662509494,53.0338689933703,46.4584530210032,318.948613993327,153.624871571859,165.323742421468,143.398058252427
175788,7774117,23.0416666667,59.9583333333,279023.507301397,6653382.59377468,16.863487791132,26.6416953051532,56.7312219407823,12.6101629734039,110.129068869132,4.34708872795105,58.396265574864,52.2595920915957,46.892279766224,321.245414428711,158.965620727539,162.279793701172,139.842592592593
175789,7774118,23.125,59.9583333333,283672.061557813,6653107.08329068,17.6557850738366,27.3924030661583,55.2731393575668,12.3002278308074,103.534551819166,4.2367565053882,52.4623814900716,53.2354512214661,48.4373912413915,319.811537309126,152.535671349728,167.275865959398,144.916666666667
175791,7774120,23.2916666667,59.9583333333,292969.852133906,6652573.66118967,16.6880215009054,27.6314426740011,55.9773306528727,12.3906794389089,118.409045155843,4.19734385401704,61.5923923068576,51.9143707593282,46.8605237325033,320.650284878043,153.421229695165,167.229055182878,160.366666666667
175792,7774121,23.375,59.9583333333,297619.078527411,6652315.74900585,17.2528165702162,27.1457700893797,55.9200646301796,12.9463327342066,118.860013632939,4.20587107870314,61.6209010314941,51.5475350412829,47.2666261607203,323.529574547285,148.287451850043,175.242122697242,158.913793103448
175793,7774122,23.4583333333,59.9583333333,302268.519049947,6652063.70236515,19.5757968266805,29.863937997818,50.8707578023275,12.1937447547913,107.151954015096,4.20083117889146,53.8832442813449,52.9564627011617,48.2607138633728,322.865873692399,147.773587243032,175.092286449367,160.375
175794,7774123,23.5416666667,59.9583333333,306918.168752607,6651817.52099903,19.2070989052455,28.958274491628,52.2099156061808,10.73855022192,105.391331195831,4.09729587681153,63.0822555160522,52.9212464968363,47.8029468854268,322.573293349322,153.054294361788,169.518998987534,161.35
175795,7774124,23.625,59.9583333333,311568.022671978,6651577.20464594,19.5405528068542,29.0462764581045,51.7503460566203,11.1051932414373,101.227249463399,4.11298641597523,66.3030323337864,52.9319493611654,47.7553616841634,320.978500545726,161.470091157801,159.508409387925,165.825
175798,7774127,23.875,59.9583333333,325518.760279224,6650891.44313381,17.3276443565841,28.7205670280794,54.2153934715068,14.9976730177888,123.286612856705,4.7488052546978,54.1714873843723,51.1474579667623,47.3074783730296,313.233448982239,161.060698509216,152.172750473023,142.53982300885
176301,7778401,20.0416666667,60.0416666667,112847.448518709,6676457.13872813,17.1985085301283,25.3672258795761,57.669762867253,12.2495959619196,107.318254052139,5.61235753951534,73.7294976677693,55.9589019868432,49.2011554066728,302.678509127709,171.867915491904,130.810593635805,129.939024390244
176302,7778402,20.125,60.0416666667,117472.697781718,6675971.02070032,16.1289006629876,25.2262890064611,58.9039265117814,11.7936666201701,105.508251561528,5.35628781447539,90.4617439693875,55.6097018149047,47.8116233623133,303.266632080078,168.528608786093,134.738023293985,131.787610619469
176303,7778403,20.2083333333,60.0416666667,122098.357691323,6675490.77320339,16.5467844939813,26.2038345336914,57.5567808849056,11.6642577590012,106.900556052603,5.46876714584675,79.6316067259989,55.4110440510075,45.5220777465076,302.929864112367,173.223243226396,129.706620885971,122.19512195122
176305,7778405,20.375,60.0416666667,131350.889085976,6674547.88784137,15.8323294194539,26.9680608876546,57.4712301635742,13.6523718770345,102.16280863444,6.31235038666498,,54.078659769694,47.0454381306966,306.066378638858,173.76779683431,132.298581804548,104.613333333333
176307,7778407,20.5416666667,60.0416666667,140605.001999391,6673628.47877841,17.5434397479944,28.060082971004,54.7119046930681,12.9409836551599,103.119242684883,5.38309995944683,,54.2966914595219,46.6721266696328,307.803230872521,168.533383882963,139.269846989558,110.201754385965
176330,7778430,22.4583333333,60.0416666667,247127.882460105,6664741.49052671,17.9593084612463,27.5454163021511,54.7851395892282,13.7385752262213,92.1331191103683,4.33973773320516,60.1328605651855,52.9765450567262,47.0829600472736,322.165889598705,138.180235120985,183.98565447772,146.119658119658
176331,7778431,22.5416666667,60.0416666667,251762.986763009,6664425.43917925,17.3236575450712,25.5839895600254,57.3302650081301,14.6846276255487,108.065675235489,4.05621809139848,61.2948697878991,51.6231613529539,48.1675046902258,325.315521717072,138.975130558014,186.340391159058,148.650485436893
176332,7778432,22.625,60.0416666667,256398.355526123,6664115.24643628,18.9359697784696,27.617735181536,53.7608305045537,13.2838388596262,99.7597015585218,4.12511615284154,58.7273928324381,52.7615131310054,48.0312485354287,322.824551941919,141.928055560003,180.896496381916,147.928571428571
176333,7778433,22.7083333333,60.0416666667,261033.983763369,6663810.91197377,19.9087842226028,27.3737190405528,53.0514452616374,12.3584839423498,99.3070854504903,4.0890050927798,59.8805196785632,53.172163327535,47.3867908795675,320.990492078993,150.39040184021,170.600090238783,143.875
176336,7778436,22.9583333333,60.0416666667,274942.375449771,6662933.05512148,17.0893722184947,29.006856515374,54.2002811163244,14.2924336984124,116.477908819494,4.89346955039284,56.9452144952468,51.5288923021773,48.0979500891457,317.498291015625,158.371693004261,159.126598011364,135.535211267606
176337,7778437,23.0416666667,60.0416666667,279578.991726628,6662652.15066315,16.0945506966632,28.3177650285804,55.9124066228452,13.4291461861652,119.246832275391,4.55150720947667,63.9844801161024,51.177465521771,47.3798861959706,323.159880521005,155.236832735831,167.923047785174,142.730434782609
176338,7778438,23.125,60.0416666667,284215.842553844,6662377.10295679,19.2670923709869,30.157103172938,50.9062419891357,12.7442830880483,103.867674986521,4.19718527793884,58.6026639585142,52.3531429926554,47.7163201649984,325.988061171312,159.812228569618,166.175832601694,155.533333333333
176339,7778439,23.2083333333,60.0416666667,288852.922960974,6662107.91171427,20.1646329243978,31.3149467309316,48.8473541895548,11.6879985888799,92.3551761945089,4.32368231813113,60.8347319285075,52.7471884409587,48.3020412445068,324.054044511583,158.393971125285,165.660073386298,165.191666666667
176340,7778440,23.2916666667,60.0416666667,293490.227979999,6661844.57665345,20.4237702582493,31.0112830390615,48.9307220080667,12.1028341261809,96.766593081892,4.29797356753122,66.078907907745,52.8523825338064,48.4477995249851,322.878991626558,158.316741943359,164.562249683199,166.272727272727
176341,7778441,23.375,60.0416666667,298127.752628579,6661587.09749915,19.5300659148161,30.5244404185902,50.2549967174688,12.9744661583388,109.142440323002,4.38229891988966,65.083059226142,52.2273385544454,47.6117570104678,321.647308966126,159.362986863262,162.284322102864,168.834710743802
176342,7778442,23.4583333333,60.0416666667,302765.491943387,6661335.47398125,20.5582109860011,32.2650646993092,47.5327904564994,12.2887600660324,98.7817497253418,4.33147987646934,62.2650729991772,52.3754306861332,47.5253418173109,325.428208962465,156.316624763684,169.111584198781,167.3125
176343,7778443,23.5416666667,60.0416666667,307403.440963364,6661089.7058357,18.2354866998237,31.0748336189672,50.9639679088927,11.9058626827441,107.280989998265,4.52467870394389,69.0254430135091,52.0596475433885,47.5575990844191,319.239161783854,150.374898071289,168.864263712565,166.19298245614
176344,7778444,23.625,60.0416666667,312041.59471297,6660849.79280535,22.2217486751966,30.3572767115822,47.7966227255577,11.1491463085837,84.5481240453799,4.02524782701866,66.5340908662773,54.8398964937068,48.0686891098653,316.872454141833,157.755828228193,159.11662591364,172.636363636364
176345,7778445,23.7083333333,60.0416666667,316679.948235527,6660615.73463821,20.0352899772077,31.1364445804564,49.1912398220094,11.9469389009082,92.9166889033042,3.84097277864497,62.9257667541504,53.2925297760766,47.3467350794264,318.431509464345,162.585371950839,155.846137513506,170.97520661157
176346,7778446,23.7916666667,60.0416666667,321318.496576466,6660387.53108834,17.7195192605011,29.8989017896416,52.6964915882457,12.7161053507781,111.550259424635,4.15409957348032,66.5615922715929,51.4449240314074,47.1135846603015,321.878594905772,156.523719949925,165.354874955847,163.280991735537
176347,7778447,23.875,60.0416666667,325957.234766582,6660165.1819167,19.1769873957989,30.1330651054698,51.0493287961345,12.3198914803749,99.3548764315518,4.29870241234101,65.0669504801432,52.7502974518074,47.3847495465239,316.235553419734,162.333724056382,153.901829363352,164.842975206612
176348,7778448,23.9583333333,60.0416666667,330596.157855374,6659948.68688947,19.2345997900025,30.2195897876707,50.8512025164743,12.5688835779826,99.6966603923048,4.22192796574363,64.9001447041829,53.2208205003005,47.8138137556549,318.130267565763,170.451360002349,147.678907563414,163.57264957265
176349,7778449,24.0416666667,60.0416666667,335235.260894298,6659738.04577893,22.0321168023713,29.3001348534409,49.0856699651601,12.8073266477001,97.7987668562909,4.27413555323067,68.9645932044512,54.3266498020717,48.0018801007952,318.935461011984,170.162535069352,148.772925942632,172.571428571429
176353,7778453,24.375,60.0416666667,353793.373462242,6658954.01617004,17.7137817382812,28.0271811103821,54.5786849212646,13.8188240623474,127.37092414856,4.89882382324764,62.5639721434793,51.5010300445557,47.7873138046265,309.064696175712,166.482883453369,142.581812722343,170.26
176853,7782718,19.7916666667,60.125,99987.5496801173,6687194.36168533,16.7619183690924,24.2435500830935,59.2885624400356,11.5274808114035,107.546050757693,5.5400992665972,90.9554601033529,57.369351136057,49.040413806313,308.271246773856,169.80069492885,138.470551845006,142.438596491228
176854,7782719,19.875,60.125,104599.792080465,6686691.48782731,18.1309426324121,25.8853271254178,56.3970562507366,10.2831714441036,98.1633965064739,4.95851341221068,81.5967339324951,59.0233523270179,50.1779668742213,313.090995788574,170.286014556885,142.804981231689,151.327586206897
176855,7782720,19.9583333333,60.125,109212.461447902,6686194.47577077,19.8721531985099,25.1669954333389,55.3697144357782,9.95919662191157,90.0484111852813,4.67181513202724,74.562344317966,59.906765519527,50.5337279135721,311.970621137477,165.602667281877,146.3679538556,152.333333333333
